agency-matched-string
Sezione dell
USABeykent University
"University of Belgrade, Faculty of Physics and Vinca Institute of Nuclear Sciences, Belgrade, Serbia Also at Scuola Normale e Sezione"
Utah Valley University
Zurich
International Research Network
Ratchadphiseksomphot Endowment Fund
ASIAA (Taiwan)
Aquatic Resources Research Institute
"Faculty of Science and Technological Industry, Prince of Songkla University"
Conselho Nacional de Desenvolvimento Cient?fico e Tecnol?gico
Siriraj Graduate Scholarship
PETROMAT
Chulalongkorn University and Chu-lalongkorn Hospital
Pericardia Program of The Royal College of Physicians of Thailand
Ratchada-phiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology
Thai Association
Chulalongkorn Academic Advancement Fund
National e-Science Infrastructure Consortium
COST Action CA15117
"Cooperation Research Program of the Wildlife Research Center, Kyoto University"
Kyoto University Foundation
National Geographic Foundation for Science and Exploration-Asia
Chulalongkorn University for Doctoral Scholarship
Henry M. Jackson Foundation
National Cancer Institute
National Institute of Allergy and Infectious Diseases
Thai Government Pharmaceutical Organization
Thai Red Cross AIDS Research Center
US Department of the Army
NIH/NCI
Doctoral Degree Chulalongkorn University
Institute for Molecular Science International Internship Program in Asia
Ratchadapisek Sompot Fund
The Medicines Company/Rempex
United States Biomedical Advanced Research and Development Authority
Coordinating Center for Thai Government Science and Technology
"Faculty of Medicine, Ramathibodi Hospital, Mahidol University"
AFOSR/AOARD
NSTDA Research Chair
"Office of Industrial Economics, Ministry of Industry"
European Association of Geochemistry
Irish Centre for Research in Applied Geosciences
UK Natural Environmental Research Council
Siriraj Clinical Research Center
Thai Society of Hematology
THE
Faculty of Science
Research and Researchers for Industries-RRI
Chulalongkorn University Dutsadi Phiphat Scholarship
Penn State Institute of Energy and the Environment
Borrego Foundation
Gordon and Betty Moore
Victor and William Fung Foundation
H.H.
Robert H. Brethen Operations Management Institute
"Plan de Ciencia, Tecnología e Innovación"
Thalis and Aristeia
APTES
Biobast Pharma
Dutch Brain Foundation
Netherlands Organization for Health Research and Development
Radboud University Medical Centre
patient association Association des Personnes concernées par le Tremblement Essentiel
Physics Department of the University of Buenos Aires
Pontificia Universidad Católica de Valparáıso and Universidad Adolfo Ibáñez
Spanish FPI
New Frontier Leader Program for Rare-metal and Resources of Akita University
IDRPHT
Saint Jean d’Illac
Pan-American Ophthalmological Foundation
Collaborative Initiative for Paediatric HIV Education and Research
Founding Sponsor ViiV Healthcare and Janssen
Chula-longkorn University
Ratchadaphiseksomphot Fund
NSTDA
National Science and Technology Development Agency
Animal Systematic Research Unit
Her Royal Highness Maha Chakri Sirindhorn and Center of Excellence on Biodiversity
Human Resource Development in Science Project
Institute of Pharmacology Polish Academy of Sciences
Polish National Science Center
Chulalongkorn University in Thailand
Mahidol University in Thailand
National Medical Research Council in Singapore
Thailand Government Fund
Fulbright foundation
International Research Network Thailand Research Fund
Thai government
Japanese Government Scholarship
Ministry of Sciences and Technology
Fonds voor Weten-schappelijk Onderzoek
Ministry of Science of Montenegro
"Ministry of Science, Technology and Research, Sri Lanka"
Pro-grama Severo Ochoa del Principado de Asturias
CU second Century Project
Geran Putra-Inisiatif Putra Siswazah
Research Institute of Rangsit University
CU-2nd Century
Conductive and Electroactive Polymer Research Unit
Faculty of Veterinary Science at Chulalongkorn University
Petroleum and Petrochemical College
Petro-mat
Rachadapisek Sompot Fund
FONDECYT Government of Chile
Chulalongkorn University Centenary Academic Development Project
CE-PPAM
"Center of Excellence for Petroleum, Petrochemicals, and Advanced Materials"
"Faculty of Biotechnology, Ramkhamhaeng University"
Galois Inc.
US-Israel BSF
"Panjab University, Chandigarh"
CPPAM
"Center for Petroleum, Petrochemicals and Advanced Materials"
Dutch Arthritis Foundation
Horse Trust
Anantara Siam Bangkok Hotel and Four Seasons Bangkok Hotel Care for Cancer Fun Run
Institute of Research and Development Walailak University
Ratchadaphiseksomphot Endowment Fund of the Center of Excellence in Clinical Virology
Department of Science
Ubon Ratchathani University
"China-Africa Center for Research and Education, Chinese Academy of Sciences"
Overseas Construction Plan for Science and Education Base
Chul-alongkorn University
Ratchadapiseksomphot Endowment
"Composite Materials Processing Laboratory, Joining and Welding Research Institute"
"National Research Council of Thailand, Mahidol University"
National Research Universities Initiative
Faculty of Engineering
Center of Biomolecular Therapy and Diagnostic
NIH/NIAID
UCLA Center for AIDS Research
Austrian Science Foundation
Chulalongkorn University for Plant Biomass Utilization Research Unit
SHELL Centennial Education Fund
Shell Companies in Thailand
European Atomic Energy Community?s Seventh Framework Programme FP7/2007
European Atomic Energy Community’s Seventh Framework Programme FP7
Massachusetts Life Science Center
"National Health Security Office, Thailand"
Anantara Siam Bangkok Hotel
Four Season Hotel Care for Cancer Fun Run
Chulalongkorn University Faculty of Veterinary Science Research Fund
"Center of Excellence for Petrochemical and Materials Technology, Chulalongkorn University"
"Department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology"
"Department of Obstetrics, Gynaecology and Reproduction, Faculty of Veterinary Science, Chulalongkorn University"
Ratchadapiseksompot Fund
David Watts
Department of National Parks
Genetics the University of Tokyo
Wildlife and Plant Conservation of Thailand
Australian Government Department of Health and Ageing
Department of the National Parks
CAPES/Alexander von Humboldt
ERDF-FEDER
General Branch Evaluation and Promotion of Health Research
Neurocare group GmbH
Avian Health Research Unit
Fonds voor Wetenschappelijk Onder-zoek
Plan Estatal de Investigación Científica y Téc-nica y de Innovación
"Plan de Ciencia, Tecnología e Inno"
Sec-retaría de Estado de Investigación
Pharmacy Council of Thailand
Egyptian Ministry of Higher Education to Islam Ateia
Chulabhorn International College of Medicine Research Fund
Chulalogkorn University
Abbott and MSD
CIHR/GSK
Governmental Pharmaceutical Organization
Janssen-Cilag
Jensen-Cilag
MRC CTU
"Medical Research Council, UK"
Merck Research Laboratories
Merck Sharpe & Dohme
Pfizer Ltd.
Quest Diagnostics
Selah Genomics Inc.
Siemens and Roche
St Vincent's Hospital
Stendahl and Gilead
Stendahl and Pfizer
"University of New South Wales, Australia"
Zizowist Diagnostics and Northern Lipids
University of Hohenheim Experiment Station
National Science Foundation EPSCoR
RDG
Department of Science Service
Royal Thai Government Scholarship
Ratch adaphiseksomphot Endowment Fund
Global Environmental System Leaders Program
"National Center of Excellence for Environmental and Hazardous Waste Management, Chulalongkorn University"
"Pig Business, Chareon Pokaphand Foods Public Company Limited Group"
Asian Pacific Association of Gastroenterology
Ministry of Education and Research and Development Institute Ramkhamhaeng University
Rachadapisek Sompoch Endowment Fund
EPSRC Centre for Doctoral Training in Condensed Matter Physics
Department of Medicine
Department of Dermatology
NIH/NCRR
Tianjin Science and Technology Fund
NAFLD
"Department of Medicine, Chulalongkorn University"
BECC
Swedish Science Foundation
MINECO Centro de Excelencia Severo Ochoa Programs
Ministry of Education of Spain
ForestGEO
Grantova Agentura Cesk≤ e Republiky
Smithsonian Institution Barcoding Opportunity
Chulalongkron University
MEXT/JST
Faculty of Health and Life Sciences
Bridge Company Limited
Mite Allergy Research Cohort
Aomori City Government
Chulalongkorn University Ratchadaphiseksomphot Fund
Excise Department
Division of AIDS
"Military Medicine, Inc."
Thai Red Cross AIDS Research Centre
University of Wisconsin
JST-ACT-C
Key Laboratory of Coal Science and Technology
"Key Research Program of Frontier Sciences, CAS"
Astra Zeneca
Stanley Medical Research Foundation
National Research Foundation of South Africa and DST-NRF Centre of Excellence in Mathematical and Statistical Sciences
Royal Thai government
Maharat Nakhon Rat-chasima Hospital
Graduate School Chulalongkorn University and Malaysian Agricultural Research Development Institute
European Union’s Horizon 2020 research and innovation program
Marie Sklodowska-Curie
Monahan Foundation
General Branch Evaluation and Promotion of Research -
NIH-NCI
Texas Children’s Hospital Flow Cytometry Core Laboratory
Texas Children’s Hospital Small Animal Imaging Facility
Nanomaterial for Energy and Catalyst Laboratory
J-GRID
Japan Initiative for Global Research Network on Infectious Diseases
Department of Environmental Engineering
Biochemistry University of California-Los Angeles Los Angeles
Chulalongkorn University Bangkok 10330
Department of Biomedical Sciences Neuroscience Research Institute Seoul National University College of Medicine Seoul 03080
Department of Chemistry Korea University Seoul 02841
KISTI
Korea University Future Research
MSIP
NRF of Korea
Thai DPST Talents Project
UCLA Molecular Biology Institute
UCLA/DOE
US DOE
US NIH
University of California-Los Angeles Los Angeles
Wongkongkathep Systems Biology Center
KWEF-AIT
National Research Council of Thailand for Urban Water Reuse Project
TRF-RTA
Department of Disease Control
Chulalongkorn University Fund
Ratchapiseksompotch Fund
"Northern Resources , Chiang Mai University"
Hong Kong Health and Medical Research Fund
Research Grants Council of the Hong Kong Government
University of Cincinnati Metabolic Diseases Institute
NRF-2017R1A2B4003781
Institute of Pharmacology
"Polish Academy of Sciences and Jagiellonian University Medical College, Kraków, Poland"
Thamma-sat University
Nursing Chulalongkorn University
Algebra and Applications Research Unit
GEMAC
"Petroleum and Petrochemical College , Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University"
"Silpakorn University, Thailand and Center of Excellence for Petroleum Petrochemicals and Advanced Materials"
DSREC
Dental School Research Ethics Committee
Petrochemistry and Polymer Science Program
"Sunsea Plastics P.S. Co., Ltd."
Center of Excellent on Environmental Health and Toxicology
EHT
Mahidol University and Nanomaterial for Energy and Catalyst Laboratory
NANOTEC
National Nanotechnology Center
Centre of Excellence on Biodiversity
Ratchadaphiseksomphot Endownment Fund
"Alcon , Fort Worth"
Alcon Japan Ltd
Asia Cornea Foundation
Bayer Yakuhin Ltd
Ministry of Science and Technology of Taiwan Government
Senju Pharmaceutical
Senju Pharmaceutical Company and M's Science Corporation
Tear Science and Coopervision
Canton Zurich
ETH Board
Fundacão para a Ciência e a Tecnologia
National Science and Technology Development Agency of Thailand
AIROPico
FP7-PEOPLE-2013-IAPP
Oskar Öflund Foundation
Turku University Foundation
European Union’s Seventh Framework Program
Division of Pediatric Endocrinology
Center of Scientific Equipment for Advanced Science Research
Office of Advanced Science and Technology
SUT-NANOTEC-SLRI
Jichi Medical University School of Medicine
Department of Chemistry and Center of Excellence for Innovation in Chemistry
Ramkhamhaeng University and Nanotechnology Center
Danuta Waschke
Niedersachsen?Research Network on Neuroinfectiology
University of Veterinary Medicine Hannover
Chulalongkorn University Thailand
Ratchadaphiseksomphot Endowment Fund Chulalongkorn University
Canadian Foundation for Innovation and Western University
Helmholtz-Gemeinschaft Deutscher
Ratchadaphiseksomphot Endowment
Birthday of His Majesty King Bhumibol Adulyadej
Chulalongkorn Unidersity
Center of Excellence in Materials and Plasma Technology
"Center of Excellence on Petrochemical and Materials Technology, Chulalongkorn University"
National Research University Project of CHE
State International Cooperation Project
Science Achievement Scholarship Thailand
Tobacco Control Research and Knowledge Management Center
NIH-NEI EY002162-Core
CHIMES Society
National Medical Research Council of Singapore
Drug Discovery and Development Center
JST/CREST
CoHASS
Nanyang Technological University College of Humanities and Social Sciences
100thAnniversary Chulalongkorn University
NUIST Reading Academy at Nanjing University of Information Science & Technology
Plant Biomass Utilization Research Unit
Alexander von Humboldt Foun
"Cosmeceutical Research, Development and Testing Center"
Ratchadaph- iseksomphot Endowment Fund
Science Chulalongkorn University
Chulalong-korn University Fund
Mr Suwat Makjareun
Rachadapisek Sompote Fund
CERCA Program/Generalitat de Catalunya
EU Graphene Flagship Core 2 Project
"Faculty of Veterinary Science, Chulalongkorn University"
"Chulalongkorn Academic Advancement into Its second Century Project Grant for International Research Integration, Chulalongkorn Research Scholar"
Rachadapisek Sompote Endowment Fund
Sompote Endowment Fund for
the Research and Researchers for Industries
Chulalongkorn University Ratchadaphiseksomphot Endowment
Faculty of Dentistry
LPDP
Chulalongkorn University Ratchadaphiseksomphot Endowment Fund
College of Industrial Technology
Royal Thai Government Budget
Bhumirajanagarindra Kidney Institute
Royal Society of Thailand
"Faculty of Science, Chulalongkorn University and Science Achievement Scholarship of Thailand"
Nanotechnology Center
Chulalongkorn University’s CUniverse
DFG priority program 1573
CU Center of Excellence on Food and Agriculture
Mahidol University Central Instrument Facility
KRC Seoul
NRL Australia
Center of Excellence for Innovation in Analytical Science
Thermo Fisher Scientific Australia
BMM
NIH Office of the Director of AIDS Research
NIH Office of the Director of Research on Women’s Health
NIH-NEI
President Fund for Science and Education Fusion of UCAS
Food and Water Cluster
Ratchadaphiseksomphot Endowment Fund of Chulalongkorn University
Rachadapisek Sompote Fund for
Faculty of Dentistry Research Fund
CAS South America Center for Astronomy
CAS-CONICYT
Marie Skłodowska-Curie
National Commission for Scientific and Technological Research of Chile
Royal Society Leverhulme Trust
"Center of Excellence on Petrochemicals and Materials Technology, Chu-lalongkorn University"
TRF Senior Research Schola
European Medical Writers Association
"Sanofi Pasteur, Lyon"
Department of Microbiology
National Blood Centre
"Center for Agricultural Biotechnology, Kasetsart University"
Center of Excellence Network and Ratchadaphiseksomphot Endowment Fund
IIAC
U. S. National Science Foundation
Faculty of Allied Health Sciences
NH&MRC
National Institutes of Health-sponsored Center
AUI/NRAO
Chulalongkorn Universitys Ratchadapiseksompot Endowment Fund
European Union's Seventh Frame-work
National Research Council of Thailand and Agricultural Research Development Agency
Swine Viral Evolution and Vaccine Research
All India Institute of Medical Sciences
Somboon Keelawat
FOST
Foundation for the Fusion of Science and Technology
Institute of Disaster Mitigation for Urban Cultural Heritage of Ritsumeikan University
Fundação para a Ciên-cia e a Tecnologia
Agricultural Research Development Agency
Department of Materials Engineering
"Energy and Environmental Engineering Center, Faculty of Engineering"
Kasetsart University
Ministry of Agricultural and Cooperatives
NIHR Wellcome Trust Southampton Clinical Research Facility
"Polish Academy of Sciences and Jagiellonian University Medical College , Kraków, Poland"
ASEAN University Net-work
Center of Excellence in Earthquake Engineering and Vibration
Southeast Asia Engineering Education Development Network
"Nanoscience and Technology Program and Graduate School, Chulalongkorn University"
"Section of Adult and Pediatric Endocrinology, Diabetes, and Metabolism"
Smart Wireless Communication Ecosystem Research Group
Building of Consortia for the Development of Human Resources in Science and Technology
DST-SERB
Bamrasnaradura Institute
Government Budget/Medical Research Network
Medical Research Network
National Health Security Office
"Faculty of Information and Communication Technology, Mahidol University"
Center of Excellence of Environmental and Hazardous Waste Management
EHWM
University of Iceland Research Fund
Smooth International Co. Ltd.
Chula Engineering
PerkinElmer
CDMRP DOD
Hickey Foundation
Rachadaphisek Sompoch Endowment 2016 Fund Chulalongkorn University
Center of Excellence in Mathematics
Shimizu Institute of Technology
Faculty of Animal Science and Agricultural Technology
Japanese government
90th Year Chulalongkorn Scholarship
"Ministry of Science, Technology and Innovation of Malaysia"
Jewelry Institute of Thailand
German Science Foundation
Niigata University U-go
Thailand
Graduate School of Chulalongkorn University
Ratch-adapiseksomphot Endowment Fund
Solare Energie Umwandlung
EMS Energy Institutes
Penn State's Institute of Energy
ASEAN University Network
Chulalongkorn University Fund and Grant for International Research Integration
Sirindhorn College of Public Health
Heart Association of Thailand
Ministry of Sci- ence and Higher Education
VA National Center for PTSD Research
Ratchadapiseksomphot Endowment Fund
Center of Excellence for Molecular Biology and Genomics of Shrimp
P.A.
Ratchadaphisek Somphot Endowment Fund
S.V.
Kerala State Biodiversity Board
Rachadaphisek Somphot Fund
"Schlinger Foundation, USA"
Western
Kenji Hirayama
NEKKEN
Expert Group on Higher Education for Sustainable Agriculture
Swedish International Agricultural Network Initiative
VU University Medical Center
Ratchadapiseksompotch Research Fund
Red Cross Society of Thailand
Drum-mond Fund
Franco-Thai Cooperation Program in Higher Education and Research ‘PHE
RCAT
Nanotechnology center
PTT Research and Technology Institute
Department of Pharmacy & Radboud Institute for Health Sciences
RIHS
Rad-boud University Medical Center
"Petroleum and Petrochemical College and Centre of Excellence on Petrochemical and Materials Technology, Thailand"
EU Horizon2020
National Institute of Health Research University College London Hospitals Biomedical Research Centre
National Natural Science Foundation
"Shanghai Committee of Science and Technology, China"
Shanghai Suburb Tertiary Hospital Clinical Capacity Building Project
"Faculty of Engineering, Kasetsart University"
EDS Chulalongkorn University
FSPU UiTM
KAED IIUM
"Lanzhou (China), Orono"
"Chemical Approaches for Food Applications Research Group, Faculty of Science"
"Chemical Approaches for Food Applications Research Group, Faculty of Science, Chulalongkorn University"
Clinica Veterinaria Roma Sud
Department of Clinical Sciences
School of Veterinary Studies & Roslin Institute
JSPS Core-to
"King Chulalongkorn University, Thailand"
Her Royal Highness Princess Maha Chakri Sirindhorn
Plant Genetics Conservation Project
Jaflan Society for the Promotion of Science
King
National Research University Project of Thailand
Faculty of Engineering and Architecture
Rajamangala University of Technology Tawan-ok
Uthenthawai Campus
Fondazione Ing
Fonds voor
Fundac¸ão para a Ciência e a Tecnologia
Thailand Research Fund and Oﬃce of the Higher Education Commission
Government Pharmaceutical Organization
Government Pharmaceutical Organization of Thailand
Thai National Health Security Office
National Institute of Environmental Health Sciences
Ratcha- dapisek Sompoch Endowment Fund
Chulalongkorn University Centenary
Integrated Innovation Academic Center
Guangdong Province
His Majesty King Bhumibol Adulyadej
MSD animal health Ltd.
FWO-Vlaanderen
"Graduate School and Faculty of Science, Chulalongkorn University"
"Wako Life Sciences, Inc."
Language Institute
Thai Meteorological Department
National Health Security Office program
TREAT
NRR
90-year Chulalongkorn University
U.S. Department of Energy Office of Science
Chulalongkorn Research
Chulalongkorn University Omics Sciences and Bioinformatics Center
Faculty of Sports University
Microbiology Department
Jongkolnee Nidhi Foundation
Thailand research fund Career Development
Luxembourg Institute of Health
Ratchadaphiseksomphot Endowment Fund of Chu-lalongkorn University
Beuth University of Applied Sciences
Brawijaya University
National University of Laos
Colorado State University and BP Exploration Operating Company Ltd
