Eid,Affiliation
2-s2.0-85047417336,60008786
2-s2.0-85045118984,60028190
2-s2.0-85045118984,60012718
2-s2.0-85041953513,60028190
2-s2.0-85041953513,60114641
2-s2.0-85041953513,60030931
2-s2.0-85060045371,60028190
2-s2.0-85060045371,60024322
2-s2.0-85054007220,60103462
2-s2.0-85054007220,60028190
2-s2.0-85028968808,60028190
2-s2.0-85028968808,60272237
2-s2.0-85028968808,60025272
2-s2.0-85051952905,60028190
2-s2.0-85030855901,60028190
2-s2.0-85030855901,60031126
2-s2.0-85030855901,60018013
2-s2.0-85057279478,60022570
2-s2.0-85057279478,60002620
2-s2.0-85057279478,120932288
2-s2.0-85057279478,60029487
2-s2.0-85057279478,60028190
2-s2.0-85042885879,60028190
2-s2.0-85042885879,120310639
2-s2.0-85042885879,60001563
2-s2.0-85042885879,60011220
2-s2.0-85078621193,60012553
2-s2.0-85078621193,60015023
2-s2.0-85078621193,60028190
2-s2.0-85065677264,60028190
2-s2.0-85056123799,60028190
2-s2.0-85049674972,60177635
2-s2.0-85049674972,60031535
2-s2.0-85049674972,110685001
2-s2.0-85049674972,60022826
2-s2.0-85049674972,60075682
2-s2.0-85049674972,60111339
2-s2.0-85049674972,60021219
2-s2.0-85049674972,60010010
2-s2.0-85049674972,109431223
2-s2.0-85049674972,60109712
2-s2.0-85049674972,120956127
2-s2.0-85049674972,60028190
2-s2.0-85049674972,101909260
2-s2.0-85049674972,60025709
2-s2.0-85045128638,60018809
2-s2.0-85045128638,60028190
2-s2.0-85048711828,60028190
2-s2.0-85048711828,60022183
2-s2.0-85046136591,60028190
2-s2.0-85043242314,60004391
2-s2.0-85043242314,60028190
2-s2.0-85043242314,112649034
2-s2.0-85044339553,60028190
2-s2.0-85057083547,60106366
2-s2.0-85057083547,60026680
2-s2.0-85057083547,60007995
2-s2.0-85057083547,112578413
2-s2.0-85057083547,60028190
2-s2.0-85057083547,60073385
2-s2.0-85057083547,100527874
2-s2.0-85057083547,60016912
2-s2.0-85057083547,60105553
2-s2.0-85050640287,60028190
2-s2.0-85050640287,60012718
2-s2.0-85054184829,60028190
2-s2.0-85054184829,60022183
2-s2.0-85041738585,60028190
2-s2.0-85041738585,60008786
2-s2.0-85041738585,60000881
2-s2.0-85054040839,60028190
2-s2.0-85061958318,60028190
2-s2.0-85061958318,120702246
2-s2.0-85045025830,60020457
2-s2.0-85045025830,60018805
2-s2.0-85045025830,60028190
2-s2.0-85042621688,60028190
2-s2.0-85055174378,60028190
2-s2.0-85055174378,60019497
2-s2.0-85049063852,60028190
2-s2.0-85049063852,60021944
2-s2.0-85049063852,60005281
2-s2.0-85043984026,60002746
2-s2.0-85043984026,60022183
2-s2.0-85057607480,60028190
2-s2.0-85057982236,60028190
2-s2.0-85040707959,60028190
2-s2.0-85040707959,60102128
2-s2.0-85029151002,60103462
2-s2.0-85029151002,60028190
2-s2.0-85057461681,60028190
